DOW,HOD,AHN,KWH,NDH,NLT,PMH,POH,PWH,PYN,QEH,QMH,RH,SJH,TKO,TMH,TSH,UCH,YCH
4,11,0.9530132789,2.163432074,1.863125638,0.08988764045,1.837589377,1.012257406,4.97752809,1.164453524,4.118488253,1.458631256,1.008171604,0.1542390194,2.196118488,2.449438202,1.125638407,4.255362615,1.286006129
4,12,0.9651639344,1.31045082,1.831967213,0.1721311475,1.576844262,1.084016393,3.93442623,1.211065574,2.770491803,1.284836066,1.281762295,0.1506147541,1.668032787,2.141393443,1.237704918,3.161885246,1.303278689
4,13,1.198989899,1.705050505,2.107070707,0.4171717172,1.683838384,1.367676768,3.537373737,1.483838384,2.372727273,1.48989899,1.492929293,0.1252525253,1.822222222,2.26969697,1.41010101,2.851515152,1.636363636
4,14,1.43545082,2.393442623,2.410860656,0.7274590164,2.014344262,1.849385246,3.364754098,1.911885246,2.455942623,1.80942623,1.846311475,0.1362704918,2.300204918,2.664959016,1.480532787,3.380122951,2.198770492
4,15,1.501028807,2.514403292,2.624485597,0.8528806584,2.455761317,2.158436214,3.501028807,2.187242798,2.692386831,1.979423868,2.16563786,0.1265432099,2.715020576,2.909465021,1.46399177,4.156378601,2.419753086
4,16,1.538302277,2.590062112,2.774327122,0.8788819876,2.780538302,2.295031056,3.630434783,2.200828157,2.898550725,1.959627329,2.222567288,0.1283643892,3.013457557,3.004140787,1.15942029,4.345755694,2.450310559
4,17,1.646578141,2.433094995,2.828396323,0.8018386108,2.872318693,2.307456588,3.726251277,2.124616956,3.103166496,1.830439224,2.076608784,0.07967313585,3.117466803,2.914198161,0.7528089888,4.37793667,2.388151175
4,18,1.819655522,2.295845998,2.83485309,0.609929078,2.80141844,2.260385005,3.705167173,1.891590679,3.155015198,1.74366768,1.881458967,0.06585612969,3.032421479,2.721377913,0.6281661601,4.201621074,2.11550152
4,19,1.921668362,2.07629705,2.810783316,0.4699898271,2.615462869,2.126144456,3.729399797,1.958290946,3.187182096,1.784333672,1.700915565,0.07527975585,2.929806714,2.499491353,0.7650050865,4.079348932,2.125127162
4,20,1.920536636,2.038183695,3.04747162,0.5407636739,2.437564499,2.114551084,4.058823529,2.446852425,3.31372549,1.974200206,1.69246646,0.07636738906,2.945304438,2.392156863,-0.4664602683,4.293085655,2.42002064
4,21,1.88024565,2.293756397,3.389969294,0.5803480041,2.721596725,2.19037871,4.463664278,2.790174002,3.493346981,2.185261003,1.885363357,0.07574206755,3.201637666,2.477993859,-0.4216990788,4.527123849,2.541453429
4,22,1.728848114,2.518858308,3.556574924,0.5239551478,2.896024465,2.195718654,4.849133537,2.877675841,3.621814475,2.317023445,1.925586137,0.04077471967,3.437308869,2.649337411,-0.3995922528,4.613659531,2.592252803
4,23,1.465851172,2.703363914,3.762487258,0.4046890928,2.879714577,2.136595311,5.081549439,2.960244648,3.73598369,2.319062181,1.815494393,0.03363914373,3.691131498,2.827726809,-0.3965341488,4.584097859,2.636085627
